tmp_10_t-1,tmp_11_t-1,tmp_12_t-1,tmp_1,tmp_2,tmp_3,tmp_4,tmp_5,tmp_6,tmp_7,tmp_8,tmp_9,tmp_10,tmp_11,tmp_12,pre_10_t-1,pre_11_t-1,pre_12_t-1,pre_1,pre_2,pre_3,pre_4,pre_5,pre_6,pre_7,pre_8,pre_9,pre_10,pre_11,pre_12,yield_t-1,yield
12.8,130.4,212.1,402.0,224.6,210.2,105.5,156.5,118.8,13.9,0.8,5.3,117.2,181.7,224.1,28.6,28.3,27.7,26.8,26.8,27.2,27.4,27.6,26.6,26.0,26.7,27.5,27.8,26.8,27.7,9.03,9.07
117.2,181.7,224.1,306.3,155.9,198.1,91.6,100.1,9.2,0.0,1.8,0.0,0.3,44.7,256.7,27.8,26.8,27.7,26.9,27.7,27.2,27.6,27.7,26.9,26.5,27.0,27.3,28.5,29.2,28.9,9.07,10.05
0.3,44.7,256.7,308.6,209.7,380.3,178.9,234.3,72.3,59.8,21.7,28.2,43.3,179.3,253.9,28.5,29.2,28.9,28.4,28.2,28.1,28.4,27.9,27.6,27.4,27.6,27.6,28.5,27.7,27.8,10.05,10.36
43.3,179.3,253.9,184.8,290.0,255.2,183.9,114.4,26.0,40.5,32.2,39.5,98.2,194.2,238.4,28.5,27.7,27.8,26.8,26.6,27.0,27.4,27.4,26.7,26.0,26.5,27.8,28.2,27.7,27.7,10.36,10.45
98.2,194.2,238.4,319.7,186.7,300.7,251.2,128.7,21.9,13.1,5.1,70.6,118.2,191.9,201.0,28.2,27.7,27.7,27.5,27.3,27.4,27.6,27.3,26.8,27.0,27.0,27.6,27.8,27.5,27.6,10.45,11.86
118.2,191.9,201.0,284.3,157.5,292.7,76.2,37.8,13.0,5.9,9.8,0.5,46.2,100.3,139.8,27.8,27.5,27.6,26.4,27.2,27.2,27.5,27.5,26.6,26.0,26.5,26.9,28.0,27.8,28.3,11.86,12.76
46.2,100.3,139.8,241.9,201.8,333.6,134.8,90.2,109.1,0.6,0.1,0.1,1.0,77.7,219.8,28.0,27.8,28.3,27.3,26.8,27.1,27.6,27.6,26.6,26.1,26.2,26.9,28.6,28.3,27.8,12.76,12.99
1.0,77.7,219.8,625.0,248.3,254.4,96.4,133.0,117.1,60.7,35.7,36.9,49.7,109.5,340.9,28.6,28.3,27.8,27.3,27.4,27.2,27.6,27.5,26.8,26.5,26.5,27.1,27.9,27.6,27.4,12.99,13.43
49.7,109.5,340.9,326.1,189.1,220.2,220.0,181.8,49.7,30.7,9.3,20.4,32.6,106.2,205.7,27.9,27.6,27.4,27.3,27.6,27.4,27.9,27.7,27.1,26.7,27.0,27.5,28.3,28.7,27.5,13.43,14.83
32.6,106.2,205.7,317.2,269.5,133.7,188.2,24.6,21.6,47.0,23.0,4.9,21.8,96.2,263.0,28.3,28.7,27.5,27.1,27.2,27.5,27.8,27.8,27.1,27.4,27.1,27.5,28.3,28.5,27.5,14.83,15.3
21.8,96.2,263.0,295.1,227.9,241.4,131.2,131.2,93.9,63.9,18.8,51.8,33.9,189.7,308.4,28.3,28.5,27.5,26.8,27.2,27.7,27.6,28.2,27.5,27.8,28.2,27.5,28.4,28.2,27.5,15.3,16.01
33.9,189.7,308.4,383.5,344.9,189.2,225.3,31.8,7.4,7.1,0.0,0.1,1.1,12.8,197.3,28.4,28.2,27.5,26.5,27.2,26.8,27.4,27.0,26.9,26.2,26.4,26.9,28.0,29.0,28.5,16.01,16.77
1.1,12.8,197.3,308.1,321.3,223.7,179.1,235.6,9.3,8.3,0.0,0.0,97.9,226.8,211.1,28.0,29.0,28.5,27.8,28.0,28.1,28.1,27.2,27.5,26.7,26.9,27.5,28.2,27.4,27.5,16.77,17.99
97.9,226.8,211.1,280.9,300.0,209.9,191.4,128.2,49.3,51.7,10.5,60.7,65.7,96.0,227.3,28.2,27.4,27.5,26.4,26.6,26.8,27.3,27.3,26.7,26.7,26.9,26.7,27.7,26.9,27.2,17.99,18.27
