id,optimizer,learning_rate,activation,epoch,configuration,train,val,data
Persistence,,,,,,0.525122,0.062436,Yield(t-1)
1,adam,0.01,relu,6000.0,11-1-1,0.021914959743119224,0.06029375102045721,all
2.0,adam,0.01,relu,6000.0,11-1-1,0.020756586838746423,0.06064106168051572,all
3.0,adam,0.01,relu,6000.0,11-2-1,0.02796512887189462,0.06226953094560912,all
4,adam,0.01,relu,6000.0,11-3-1,0.02036040871842179,0.06182129224417618,all
5.0,adam,0.01,relu,6000.0,11-4-1,0.021045795790943407,0.05922021351656509,all
6.0,adam,0.01,relu,6000.0,11-5-1,0.02312172353127234,0.05686997765790648,all
7.0,adam,0.01,relu,6000.0,11-6-1,0.025079934936493752,0.06449315605268074,all
8.0,adam,0.01,relu,6000.0,11-7-1,0.016532085397979283,0.05902693875365537,all
9.0,adam,0.01,relu,6000.0,11-8-1,0.01959287162852848,0.08385460553093897,all
10,adam,0.01,relu,6000.0,11-9-1,0.021063183097783184,0.056795740250686746,all
11.0,adam,0.01,relu,6000.0,11-10-1,0.016428810021906496,0.05987276621317066,all
12.0,adam,0.01,relu,6000.0,11-11-1,0.0045981291461676425,0.07249558114179369,all
13.0,adam,0.01,leaky_relu,6000.0,11-1-1,0.02036642363757605,0.061526107351713724,all
14.0,adam,0.01,leaky_relu,6000.0,11-2-1,0.01876903914794065,0.058400431251301246,all
15.0,adam,0.01,leaky_relu,6000.0,11-3-1,0.018336719925991254,0.04294327094279368,all
16.0,adam,0.01,leaky_relu,6000.0,11-4-1,0.012821238061228939,0.07769203314805655,all
17.0,adam,0.01,leaky_relu,6000.0,11-5-1,0.009329148881453118,0.0712047659867147,all
18.0,adam,0.01,leaky_relu,6000.0,11-6-1,0.015809404737435383,0.060585718999969174,all
19.0,adam,0.01,leaky_relu,6000.0,11-7-1,0.0039004555234802836,0.05971872298533489,all
20.0,adam,0.01,leaky_relu,6000.0,11-8-1,0.014509776746113184,0.07247651426279367,all
21.0,adam,0.01,leaky_relu,6000.0,11-9-1,0.0020061992437963153,0.0757365748867268,all
22.0,adam,0.01,leaky_relu,6000.0,11-10-1,0.009212290624244932,0.07855206825218432,all
23.0,adam,0.01,leaky_relu,6000.0,11-11-1,0.0029074436992519545,0.0890481855784981,all
24.0,sgd,0.01,relu,6000.0,11-1-1,0.03663178589817876,0.05420264886191695,all
25.0,sgd,0.01,relu,6000.0,11-2-1,0.021608526669947878,0.06130512992465411,all
26.0,sgd,0.01,relu,6000.0,11-3-1,0.02101033937789916,0.06234700132319626,all
27.0,sgd,0.01,relu,6000.0,11-4-1,0.02160176313213663,0.06509855087219493,all
28,sgd,0.01,relu,6000.0,11-5-1,0.028265475098432555,0.07119566861489196,all
29.0,sgd,0.01,relu,6000.0,11-6-1,0.022001230793890398,0.06373880574989615,all
30.0,sgd,0.01,relu,6000.0,11-7-1,0.025877298898983093,0.07283455903384424,all
31.0,sgd,0.01,relu,6000.0,11-8-1,0.022041254628709376,0.053891228313973236,all
32.0,sgd,0.01,relu,6000.0,11-9-1,0.021886644499784034,0.060255304209042966,all
33.0,sgd,0.01,relu,6000.0,11-10-1,0.02124194659377109,0.06291483877947263,all
34,sgd,0.01,relu,6000.0,11-11-1,0.02520693785247986,0.07726975752479805,all
35.0,sgd,0.01,leaky_relu,6000.0,11-1-1,0.02343821248641895,0.06452485269305594,all
36.0,sgd,0.01,leaky_relu,6000.0,11-2-1,0.03042996790003135,0.08646548969983128,all
37,sgd,0.01,leaky_relu,6000.0,11-3-1,0.02575151724968042,0.05243175042976282,all
